# Benchmark Case 4 Element Force Results: Denoted by element and degree of freedom
# DOF is based on NASTRAN numbering 1-7 are End A and 71-77 are End B
# 1=Moment1; 2=Moment2; 3=Shear1; 4=Shear2; 5=Axial; 6=Torque; 7=WarpingTorque
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1001_7,1010_71,1010_72,1010_73,1010_74,1010_75,1010_76,1010_77,1020_71,1020_72,1020_73,1020_74,1020_75,1020_76,1020_77,1101_71,1101_72,1101_73,1101_74,1101_75,1101_76,1101_77,1102_71,1102_72,1102_73,1102_74,1102_75,1102_76,1102_77,1103_71,1103_72,1103_73,1103_74,1103_75,1103_76,1103_77,1104_71,1104_72,1104_73,1104_74,1104_75,1104_76,1104_77
2.181,-312.159205667,-1582.10427018,91.7875233255,-840.18453123,-912149.939881,376.363651285,0.0,107264.75888,1710927.1754,-295.667689237,-1257.06891174,-311708.148446,1276.85307971,0.0,-1.95633213675e-06,2.48990284305e-06,0.0512579329794,1009.90788603,-110.325573205,-5.17217644922,0.0,-9.84880054963e-05,3.7420348827e-06,-428.206300361,0.6592418173,-0.863821844426,-0.3348524792,0.0,-0.000130591476489,6.62816016451e-06,-427.696790295,-0.555754787379,-0.23353519864,0.499967537892,0.0,0.000103673088721,8.04557223558e-06,-425.06050989,0.0816618454798,0.863824621962,0.334861934767,0.0,0.000130235882031,4.9459947039e-06,-425.570019483,1.29665854807,0.233533064662,-0.499966858974,0.0
2.182,-372.130593131,-1753.34862719,112.341626365,-786.17383147,-912375.697603,376.162587913,0.0,106768.012537,1717701.40812,-296.307856441,-1255.57326114,-312169.735374,1139.98104415,0.0,-2.04833625325e-06,2.13779378112e-06,-0.0353011746048,1009.54371704,-110.465405305,-6.52840025998,0.0,-9.86065488084e-05,3.74314901371e-06,-427.277934922,0.778135479204,-1.11983373874,-0.364230635084,0.0,-0.000130639397083,6.62298059218e-06,-426.669991257,-0.816666583197,-0.348404991369,0.561038447486,0.0,0.000103849349818,8.044984702e-06,-423.751193551,-0.0355442026916,1.11983651884,0.364240089471,0.0,0.000130335609944,4.95139801193e-06,-424.359136744,1.55925795762,0.34840285446,-0.561037768588,0.0
2.183,-430.222406206,-1900.41028036,132.281940121,-739.808020235,-912604.709227,369.178173825,0.0,106256.792178,1724025.55837,-297.250319129,-1250.21125107,-312673.572988,991.916389101,0.0,-2.14117859758e-06,1.77907582822e-06,-0.12300408692,1009.17082529,-110.649638385,-7.73642605088,0.0,-9.87081252694e-05,3.73809222316e-06,-426.31209468,0.865401554736,-1.34749042275,-0.387723377633,0.0,-0.00013067281442,6.61340270348e-06,-425.608855314,-1.05514550033,-0.439134309879,0.615232414588,0.0,0.000104008639174,8.03986606582e-06,-422.447759108,-0.134650011336,1.34749320542,0.387732830717,0.0,0.000130420826869,4.95049670268e-06,-423.150998002,1.78589714164,0.439132170035,-0.61523173573,0.0
2.184,-486.03850387,-2022.03833632,151.461034876,-701.513364067,-912835.064025,355.056714828,0.0,105737.280964,1729887.47055,-298.4282095,-1240.78650037,-313220.326699,832.824884916,0.0,-2.23390523441e-06,1.41566028975e-06,-0.210932671679,1008.79113175,-110.877389637,-8.78106425259,0.0,-9.87920901613e-05,3.7265507354e-06,-425.317060513,0.919699928967,-1.54482214547,-0.405104958059,0.0,-0.000130691580251,6.59918184432e-06,-424.522306032,-1.26954461514,-0.504765792014,0.662114094986,0.0,0.000104149509786,8.02995984952e-06,-421.161182323,-0.215031613665,1.54482493071,0.40511440975,0.0,0.000130490582385,4.94296426756e-06,-421.955936331,1.97421302835,0.504763649231,-0.662113416183,0.0
2.185,-539.21151815,-2117.30990995,169.739225719,-671.619128906,-913064.886792,333.613391206,0.0,105215.457608,1735278.73185,-299.771321829,-1227.1462029,-313810.621585,663.128022852,0.0,-2.32555818267e-06,1.04935670487e-06,-0.298163060083,1008.40647993,-111.147510857,-9.65124341475,0.0,-9.8858030801e-05,3.70835629389e-06,-424.301237325,0.940176028532,-1.71021878551,-0.416228580655,0.0,-0.000130695740507,6.58019159495e-06,-423.419342397,-1.45842099585,-0.5446485245,0.701342257404,0.0,0.000104270748726,8.01512962892e-06,-419.901967626,-0.27621342751,1.71022157332,0.416238030896,0.0,0.000130544122064,4.92862426459e-06,-420.783862081,2.12238369478,0.544646378774,-0.701341578664,0.0
2.186,-589.402997653,-2185.63356248,186.985090613,-650.355534665,-913292.366932,304.838701602,0.0,104697.072963,1740194.73558,-301.207791452,-1209.18164591,-314445.002478,483.510957691,0.0,-2.41518826759e-06,6.81862302563e-07,-0.383778299807,1008.01862465,-111.458627075,-10.3401718687,0.0,-9.89057604008e-05,3.68349070874e-06,-423.273008311,0.926472479462,-1.84243865316,-0.42102727865,0.0,-0.000130685528473,6.55642922687e-06,-422.308893137,-1.62053779745,-0.558443287205,0.732670744904,0.0,0.000104371388067,7.99536539955e-06,-418.679997411,-0.317867044695,1.84244144354,0.42103672742,0.0,0.000130580897937,4.90745213743e-06,-419.644112112,2.22914333013,0.558441138533,-0.732670066231,0.0
2.187,-636.303057745,-2226.74821943,203.075862455,-637.853087382,-913515.786774,268.900735642,0.0,104187.630129,1744634.6777,-302.665774765,-1186.82795003,-315123.894328,294.924271909,0.0,-2.5018678677e-06,3.14755357875e-07,-0.466880901484,1007.62922412,-111.809176857,-10.8453945349,0.0,-9.8935308292e-05,3.65208858518e-06,-422.240588937,0.878732175072,-1.94061213026,-0.41951372692,0.0,-0.000130661356833,6.52801752188e-06,-421.199671592,-1.75486518624,-0.546123500311,0.755948113316,0.0,0.000104450710215,7.97078721473e-06,-417.50438937,-0.339809760062,1.94061492321,0.419523174232,0.0,0.000130600575764,4.87957703432e-06,-418.545306241,2.29378769916,0.546121348692,-0.755947434708,0.0
2.188,-679.629627833,-2240.71777133,217.897711923,-634.143253269,-913733.54852,226.143233155,0.0,103692.367371,1748601.48661,-304.07509226,-1160.06307265,-315847.56382,98.5794429507,0.0,-2.58470333886e-06,-5.05076708264e-08,-0.546605060065,1007.23983531,-112.197453158,-11.1687448598,0.0,-9.89469083285e-05,3.61443459503e-06,-421.211883798,0.797592784897,-2.00424032766,-0.411779020995,0.0,-0.00013062380607,6.49520750052e-06,-420.100034157,-1.86058033491,-0.507971939099,0.771116023662,0.0,0.000104508251785,7.94164245701e-06,-416.383364547,-0.342002953789,2.00424312319,0.411788466897,0.0,0.000130603038903,4.84528089861e-06,-417.495213714,2.31617026393,0.507969784528,-0.771115345112,0.0
2.189,-719.127393705,-2227.92160633,231.345939799,-639.160422678,-913944.199316,177.079487736,0.0,103216.243139,1752101.68709,-305.368798007,-1128.90612942,-316616.083209,-104.061956005,0.0,-2.66284690442e-06,-4.12591436869e-07,-0.622128339599,1006.85191241,-112.62164363,-11.3161943677,0.0,-9.894098388e-05,3.5709580198e-06,-420.194349476,0.68417288586,-2.03318900322,-0.397990462179,0.0,-0.000130573612422,6.45837023661e-06,-419.017845212,-1.93706669291,-0.444573330813,0.778206479825,0.0,0.00010454380291,7.90829947175e-06,-415.324128594,-0.324550391342,2.03319180132,0.397999906753,0.0,0.000130588389899,4.80499210231e-06,-416.500632385,2.29668928534,0.44457117329,-0.778205801322,0.0
2.19,-754.566537046,-2189.04136329,243.325098522,-652.74509731,-914146.453907,122.382250283,0.0,102763.922498,1755145.20075,-306.484641175,-1093.41510018,-317429.297244,-311.305143534,0.0,-2.73550781126e-06,-7.70277730779e-07,-0.692682621492,1006.46680811,-113.079869341,-11.2976047278,0.0,-9.89181318025e-05,3.52222547469e-06,-419.194866354,0.540050041383,-2.02767803677,-0.378388397813,0.0,-0.000130511653323,6.41799049084e-06,-417.960351356,-1.98391269419,-0.356802994529,0.777338014174,0.0,0.000104557403948,7.87124392912e-06,-414.332768545,-0.287696454568,2.02768083745,0.378397841171,0.0,0.000130556949805,4.75927544163e-06,-415.567283068,2.23626637892,0.35680083405,-0.777337335699,0.0
