# Benchmark Case 4 Acceleration Results: Denoted by grid and degree of freedom
Time,1001_1,1001_2,1001_3,1001_4,1001_5,1001_6,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1021_1,1021_2,1021_3,1021_4,1021_5,1021_6
2.805,609.953356897,-1.04181577862,-9.30908622497,0.00239240224751,-0.0756831637711,0.00962524985226,609.169721694,-0.318856982337,16.3420997819,0.0026852592128,-0.0813789752468,0.00644015478722,643.984616979,0.137857884356,-22.9630413784,0.00075987991333,0.132809157749,-0.00621744487995
2.806,609.01908708,-1.10206465742,-9.03319219011,0.00323725618759,-0.0732683283308,0.0104496252233,608.61731654,-0.339808694887,16.4814812753,0.00237854798846,-0.0844091687519,0.00726510609629,646.615561112,0.0040940499411,-23.9076732171,0.000559971651804,0.139883240712,-0.00752070007315
2.807,608.083634542,-1.1555103163,-8.74134490314,0.00407307931496,-0.0706142609075,0.0111747908411,608.108650363,-0.357345748369,16.6041080626,0.00207274567246,-0.0873271517114,0.00803561557326,649.118282693,-0.120746439121,-24.847712038,0.00035629638703,0.146921642261,-0.00873705619173
2.808,607.148112766,-1.20175688708,-8.43337457801,0.00488912492755,-0.0677137867298,0.0117961629184,607.645624754,-0.371742118472,16.709625197,0.00177551964307,-0.0901317716905,0.00874416994969,651.484728723,-0.23491917066,-25.7730879296,0.000148206707743,0.153836493511,-0.00985069347533
2.809,606.213575036,-1.24048270034,-8.10930931104,0.00567493768063,-0.0645625147597,0.0123102339353,607.230145252,-0.383288038223,16.7982852225,0.00149432819119,-0.0928222382045,0.00938380121516,653.708156424,-0.336761883376,-26.6740701712,-6.50131945722e-05,0.160543160405,-0.0108466259844
2.81,605.281012146,-1.27144012135,-7.76938568297,0.00642052529265,-0.0611590419054,0.0127145442833,606.864118368,-0.392276323022,16.8709356676,0.00123627642452,-0.0953980059188,0.00994817239605,655.783176082,-0.424720165938,-27.541418864,-0.000284092125684,0.166961562284,-0.0117109313099
2.811,604.351356057,-1.29445468566,-7.41405717037,0.00711652220409,-0.0575051291825,0.0130076443054,606.549439066,-0.398989332408,16.9289915873,0.00100797784693,-0.0978586600022,0.0104316573902,657.70577283,-0.497372623857,-28.366526416,-0.000509713384398,0.173017397924,-0.0124309730797
2.812,603.425489457,-1.30942361804,-7.04400013022,0.00775434226656,-0.0536058451776,0.0131890485418,606.287968791,-0.403686947041,16.9743939046,0.000815424275691,-0.100203806483,0.0108294135627,659.473307242,-0.553455043548,-29.1415465469,-0.000742454716635,0.178643258742,-0.0129956120872
2.813,602.504260952,-1.31631382149,-6.66011714223,0.00832631772536,-0.0494696723622,0.0132591840024,606.081504488,-0.406595905189,17.0095546384,0.000663866633018,-0.102432970374,0.0111374458947,661.084495034,-0.591883084887,-29.8595087239,-0.000982728378683,0.18377961105,-0.0133954019399
2.814,601.58850548,-1.31515942343,-6.26353752072,0.00882582199702,-0.0451085721136,0.0132193342508,605.931739318,-0.407900799846,17.0372904105,0.000557708972732,-0.104545504202,0.0113526615904,662.539366548,-0.611773045581,-30.5144162112,-0.00123072301227,0.188375631744,-0.0136227652966
2.815,600.679069332,-1.30605896428,-5.85561484114,0.00924737402847,-0.0405380047397,0.0130715809971,605.840216075,-0.407736986736,17.0607458963,0.000500417880334,-0.106540509341,0.011472914179,663.839207104,-0.612460262945,-31.1013262342,-0.00148634904699,0.192389884609,-0.0136721470102
2.816,599.776839024,-1.28917230941,-5.43792136493,0.00958672235222,-0.0357769013619,0.0128187447726,605.808274565,-0.406185596229,17.0833091059,0.000494449118986,-0.108416772337,0.0114970363058,664.986479644,-0.593514750741,-31.6164110901,-0.0017491893177,0.195790827425,-0.0135401408356
